Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2010-04-28,23.2980,23.3580,23.0710,23.2900,0.0453,0.1949,"64,557,901",0
2010-04-29,23.3050,23.6820,23.1090,23.3580,0.0677,0.2907,"52,671,781",0
2010-04-30,23.4100,23.4180,22.9960,23.0110,-0.3468,-1.4847,"63,220,209",0
2010-05-03,23.1090,23.4030,23.0410,23.2520,0.2416,1.0499,"43,990,036",0
2010-05-04,22.9960,23.0190,22.4160,22.7020,-0.5502,-2.3662,"82,085,579",0
2010-05-05,22.4310,22.6720,22.3710,22.4910,-0.2113,-0.9308,"66,833,778",0
2010-05-06,22.2960,22.5140,21.0290,21.8360,-0.6553,-2.9136,"128,612,951",0
2010-05-07,21.7980,21.8130,20.5850,21.2560,-0.5800,-2.6562,"173,718,024",0
2010-05-10,21.8580,22.2120,21.6320,21.8060,0.5500,2.5876,"86,656,268",0
2010-05-11,21.6090,22.3400,21.5270,21.7600,-0.0452,-0.2073,"63,803,037",0
2010-05-12,21.8360,22.2880,21.7900,22.1820,0.4219,1.9389,"47,152,462",0
2010-05-13,22.0470,22.4010,21.9860,22.0320,-0.1507,-0.6794,"45,291,598",0
2010-05-14,22.0010,22.0090,21.5790,21.7980,-0.2337,-1.0608,"63,333,959",0
2010-05-17,21.9410,22.0240,21.4360,21.8060,0.0077,0.0353,"46,055,496",0
2010-05-18,21.8510,21.9490,21.4950,21.6470,-0.1588,-0.7283,"52,772,107",0
2010-05-19,21.5860,21.7150,21.0340,21.3740,-0.2726,-1.2593,"61,754,173",0
2010-05-20,20.9280,21.0720,20.4660,20.5190,-0.8554,-4.0020,"87,991,056",0
2010-05-21,20.1560,20.5190,20.0120,20.3150,-0.2041,-0.9947,"117,600,229",0
2010-05-24,20.3220,20.3300,19.8760,19.8830,-0.4315,-2.1241,"73,712,018",0
2010-05-25,19.4140,19.9290,19.2100,19.7310,-0.1517,-0.7630,"98,373,509",0
2010-05-26,19.8520,20.1400,18.5890,18.9290,-0.8020,-4.0646,"176,684,012",0
2010-05-27,19.4740,19.9510,19.4740,19.6790,0.7492,3.9579,"136,434,525",0
