#,Company,Symbol,Weight,Price,Chg,% Chg
231,Valero Energy,VLO,0.08%,140.23,-0.28,(-0.20%)
232,Electronic Arts,EA,0.08%,173.3,1.97,(1.15%)
233,Xcel Energy,XEL,0.08%,73.17,-0.00,(-0.01%)
234,Baker Hughes,BKR,0.08%,43.78,0.93,(2.17%)
235,Ametek,AME,0.07%,183.57,0.23,(0.13%)
236,ResMed,RMD,0.07%,288.37,-0.69,(-0.24%)
237,Take-Two Interactive,TTWO,0.07%,226.84,-1.83,(-0.80%)
238,Public Service Enterprise Group,PEG,0.07%,83.69,-1.47,(-1.72%)
239,Kenvue,KVUE,0.07%,21.55,-0.08,(-0.37%)
240,Yum! Brands,YUM,0.07%,148.03,-1.31,(-0.88%)
241,Diamondback Energy,FANG,0.07%,138.5,0.63,(0.46%)
242,Entergy,ETR,0.07%,89.53,-0.30,(-0.33%)
243,Carnival,CCL,0.07%,29.35,0.09,(0.31%)
244,Monolithic Power Systems,MPWR,0.07%,820.86,-5.41,(-0.65%)
245,Vulcan Materials Company,VMC,0.07%,288.32,2.04,(0.71%)
246,Sysco,SYY,0.07%,79.71,-1.27,(-1.57%)
247,Verisk Analytics,VRSK,0.07%,271.87,1.02,(0.38%)
248,Rockwell Automation,ROK,0.07%,337.4,-2.22,(-0.65%)
249,Prudential Financial,PRU,0.07%,107.27,0.14,(0.13%)
250,Delta Air Lines,DAL,0.07%,57.82,-1.23,(-2.09%)
251,Live Nation Entertainment,LYV,0.07%,162.45,0.55,(0.34%)
252,CoStar Group,CSGP,0.07%,88.88,0.63,(0.71%)
253,Hartford (The),HIG,0.07%,133.36,-0.61,(-0.46%)
254,Las Vegas Sands,LVS,0.06%,53.51,-0.11,(-0.21%)
255,Charter Communications,CHTR,0.06%,268.78,2.15,(0.81%)
256,Consolidated Edison,ED,0.06%,101.58,-0.19,(-0.18%)
257,Cardinal Health,CAH,0.06%,153.4,0.45,(0.29%)
258,Hershey Company (The),HSY,0.06%,179.58,-2.01,(-1.11%)
259,Fidelity National Information Services,FIS,0.06%,69.66,-0.11,(-0.15%)
260,Martin Marietta Materials,MLM,0.06%,601.86,1.25,(0.21%)
261,Microchip Technology,MCHP,0.06%,66.19,-0.58,(-0.86%)
262,Humana,HUM,0.06%,295.35,5.35,(1.84%)
263,Vici Properties,VICI,0.06%,32.94,-0.03,(-0.09%)
264,Cognizant,CTSH,0.06%,71.63,1.14,(1.61%)
265,Targa Resources,TRGP,0.06%,162.5,-0.37,(-0.23%)
266,Arch Capital Group,ACGL,0.06%,93.65,0.81,(0.88%)
267,WEC Energy Group,WEC,0.06%,108.46,-0.45,(-0.41%)
268,Otis Worldwide,OTIS,0.06%,87.65,-1.48,(-1.66%)
269,Xylem Inc.,XYL,0.06%,140.37,-1.50,(-1.06%)
270,Lennar,LEN,0.06%,129.45,-0.87,(-0.67%)
271,GE HealthCare,GEHC,0.06%,73.33,-0.54,(-0.73%)
272,Agilent Technologies,A,0.06%,117.14,-1.97,(-1.65%)
273,Seagate Technology,STX,0.06%,154.88,-3.52,(-2.22%)
274,Nucor,NUE,0.06%,143.38,-0.09,(-0.07%)
275,Willis Towers Watson,WTW,0.06%,337.14,1.41,(0.42%)
276,Wabtec,WAB,0.06%,191.5,-1.35,(-0.70%)
277,Fair Isaac,FICO,0.06%,,18.39,(1.37%)
278,EQT Corporation,EQT,0.06%,52.33,0.99,(1.93%)
279,Kraft Heinz,KHC,0.06%,27.49,0.07,(0.27%)
280,PG&E Corporation,PCG,0.06%,14.71,-0.65,(-4.23%)
281,Tractor Supply,TSCO,0.06%,61.0,-0.04,(-0.06%)
282,Raymond James Financial,RJF,0.06%,161.01,-1.47,(-0.90%)
283,IQVIA,IQV,0.06%,187.78,-4.26,(-2.22%)
284,Brown & Brown,BRO,0.06%,96.49,-0.30,(-0.31%)
285,Dexcom,DXCM,0.06%,81.02,-0.65,(-0.80%)
286,Estée Lauder Companies (The),EL,0.06%,87.93,1.36,(1.57%)
287,Old Dominion,ODFL,0.06%,150.1,-0.14,(-0.09%)
288,United Airlines Holdings,UAL,0.06%,97.17,-2.67,(-2.67%)
289,Ventas,VTR,0.05%,69.14,-0.04,(-0.06%)
290,DuPont,DD,0.05%,74.62,0.13,(0.18%)
291,State Street Corporation,STT,0.05%,109.56,-2.33,(-2.09%)
292,Ingersoll Rand,IR,0.05%,77.44,-1.60,(-2.02%)
293,Equifax,EFX,0.05%,245.52,-2.84,(-1.14%)
294,M&T Bank,MTB,0.05%,192.44,-0.75,(-0.39%)
295,Extra Space Storage,EXR,0.05%,139.16,-0.48,(-0.35%)
296,Broadridge Financial Solutions,BR,0.05%,251.93,-9.93,(-3.79%)
297,Archer Daniels Midland,ADM,0.05%,61.14,0.41,(0.68%)
298,Constellation Brands,STZ,0.05%,165.12,-1.18,(-0.71%)
